Sales Enquiry as of 04/07/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000244,4/6/2026,4/6/2026,4/7/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,9,40.5
SO-00000244,4/6/2026,4/6/2026,4/7/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,15,258
SO-00000244,4/6/2026,4/6/2026,4/7/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,3,49.47
SO-00000244,4/6/2026,4/6/2026,4/7/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,4,128
SO-00000244,4/6/2026,4/6/2026,4/7/2026,Warehouse,Gardena,General,M1200 Matcha,Raw Material,Completed,2,480
SO-00000244,4/6/2026,4/6/2026,4/7/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000244,4/6/2026,4/6/2026,4/7/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,9,227.7
SO-00000244,4/6/2026,4/6/2026,4/7/2026,Warehouse,Gardena,General,Dulce,Raw Material,Completed,2,45.8
SO-00000244,4/6/2026,4/6/2026,4/7/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000244,4/6/2026,4/6/2026,4/7/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,10,172
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,Toilet Paper,Cafe Supply,Completed,10,5.5
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,2,64
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,1,240
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,Honey,Raw Material,Completed,1,0
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.6
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,Condensed Milk,Raw Material,Completed,1,34.58
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,Chai,Raw Material,Completed,1,17.6
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,5,82.45
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,4 Cup Carrier,Cafe Supply,Completed,2,17.76
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,20,90
SO-00000243,4/6/2026,4/6/2026,4/7/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,2,9
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,18,81
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,14,240.8
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Vanilla Syrup,Premades,Completed,3,28.26
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Ube Condensed Milk,Raw Material,Completed,1,0
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Black Straws,Consumables,Completed,2,0
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Rose,Raw Material,Completed,1,7.3
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Paper Bag,Cafe Supply,Completed,1,4.83
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,5,160
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Mocha,Raw Material,Completed,1,22.87
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,2,480
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Lid Plug,Consumables,Completed,1,15.42
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Lavender,Raw Material,Completed,1,7.3
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,2,70.5
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.6
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Dulce,Raw Material,Completed,1,22.9
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,3,49.47
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,1,32
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000242,4/5/2026,4/5/2026,4/6/2026,Warehouse,KTOWN,General,4 Cup Carrier,Cafe Supply,Completed,1,8.88
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,32,144
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,5,82.45
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,16,275.2
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,4,128
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,M1200 Matcha,Raw Material,Completed,1,240
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,20,506
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,Decaf Beans,Raw Material,Completed,1,25.3
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,Caramel,Raw Material,Completed,1,22.9
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000241,4/5/2026,4/5/2026,4/6/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000240,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,2% Milk,Raw Material,Completed,1,4.5
SO-00000240,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,14,63
SO-00000240,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,5,82.45
SO-00000240,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,20,344
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Black Straws,Consumables,Completed,1,0
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,5,160
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,M1200 Matcha,Raw Material,Completed,2,480
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Custom Ice Cups,Consumables,Completed,2,115.8
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Honey,Raw Material,Completed,1,0
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,30,759
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Dulce,Raw Material,Completed,2,45.8
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Decaf Beans,Raw Material,Completed,1,25.3
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000239,4/4/2026,4/4/2026,4/5/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,16,72
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,15,258
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Black Straws,Consumables,Completed,2,0
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Receipt rolls,Cafe Supply,Completed,2,11.5
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Passionfruit,Raw Material,Completed,1,18.97
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,4,128
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,1,240
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Hot Lid,Consumables,Completed,1,33.75
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.6
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Dulce,Raw Material,Completed,1,22.9
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Decaf Beans,Raw Material,Completed,1,25.3
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Chai,Raw Material,Completed,1,17.6
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,3,49.47
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,1,32
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,4 Cup Carrier,Cafe Supply,Completed,1,8.88
SO-00000238,4/4/2026,4/4/2026,4/5/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,1,4.5
SO-00000237,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,2% Milk,Raw Material,Completed,1,4.5
SO-00000237,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Half & Half,Raw Material,Completed,2,7.98
SO-00000237,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,9,40.5
SO-00000237,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,4,65.96
SO-00000237,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,18,309.6
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Ube Condensed Milk,Raw Material,Completed,1,0
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,2,122.22
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Paper 2 Cup Carrier Bag,Consumables,Completed,1,0
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,5,160
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,M1200 Matcha,Raw Material,Completed,2,480
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,10,253
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Chai,Raw Material,Completed,1,17.6
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Beverage Napkin,Cafe Supply,Completed,1,17.59
SO-00000236,4/3/2026,4/3/2026,4/3/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,22,99
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,10,172
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,Toilet Solution,Cafe Supply,Completed,1,6.62
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,4,128
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,1,240
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,11,278.3
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,Coldbrew Concentrate,Raw Material,Completed,1,42.14
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,Cafiza,Cafe Supply,Completed,1,7.35
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,4,65.96
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,4 Cup Carrier,Cafe Supply,Completed,2,17.76
SO-00000235,4/3/2026,4/3/2026,4/3/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,2,9
,,,,,,,,,Totals,554,"12,418.34"
